sample spot	sample x	sample y	sample_name	"shutter open,s"	"mass range, amu"	group_name
A33	40.2	0	P950-AlO2 1	240	200	P950-AlO2
A34	40.2	-11.2	P950-AlO2 2	240	200	P950-AlO2
A35	29	-11.2	P950-AlO4 1	240	200	P950-AlO4
A36	17.8	-11.2	P950-AlO4 2	240	200	P950-AlO4
A37	6.6	-11.2	P950-InO2 1	240	200	P950-InO2
A38	-4.6	-11.2	P950-InO2 2	240	200	P950-InO2
A39	-15.8	-11.2	P950-InO4 1	240	200	P950-InO4
A40	-27	-11.2	P950-InO4 2	240	200	P950-InO4
A41	-38.2	-11.2	P950-Hf10x4 1	240	200	P950-Hf10x4
A42	-27	-22.4	P950-Hf10x4 2	240	200	P950-Hf10x4
A43	-15.8	-22.4	P950-Hf15x1 1	240	200	P950-Hf15x1
A44	-4.6	-22.4	P950-Hf15x1 2	240	200	P950-Hf15x1
A46	17.8	-22.4	bare Si BNL 1	240	200	bare Si BNL
A47	29	-22.4	bare Si BNL 2	240	200	bare Si BNL
A49	6.6	-33.6	bare Si	240	200	bare Si
